date,ticker,open,high,low,close
30/08/2023 05:00,USDJPY,146.16,146.244,146.135,146.226
30/08/2023 06:00,USDJPY,146.225,146.29,146.144,146.242
30/08/2023 07:00,USDJPY,146.244,146.358,146.155,146.331
30/08/2023 08:00,USDJPY,146.332,146.52,146.3,146.393
30/08/2023 09:00,USDJPY,146.411,146.58,146.34,146.441
30/08/2023 10:00,USDJPY,146.438,146.482,146.251,146.335
30/08/2023 11:00,USDJPY,146.333,146.416,146.3,146.331
30/08/2023 12:00,USDJPY,146.33,146.435,146.314,146.338
30/08/2023 13:00,USDJPY,146.34,146.367,145.816,145.867
30/08/2023 14:00,USDJPY,145.871,145.947,145.555,145.615
30/08/2023 15:00,USDJPY,145.616,145.941,145.584,145.841
30/08/2023 16:00,USDJPY,145.841,145.976,145.751,145.945
30/08/2023 17:00,USDJPY,145.943,146.145,145.932,146.094
30/08/2023 18:00,USDJPY,146.091,146.202,145.972,146.191
30/08/2023 19:00,USDJPY,146.19,146.25,146.133,146.178
30/08/2023 20:00,USDJPY,146.181,146.29,146.166,146.27
30/08/2023 21:00,USDJPY,146.268,146.28,146.19,146.218
30/08/2023 22:00,USDJPY,146.24,146.27,146.11,146.19
30/08/2023 23:00,USDJPY,146.192,146.201,146.05,146.108
31/08/2023 00:00,USDJPY,146.113,146.13,145.947,146.086
31/08/2023 01:00,USDJPY,146.091,146.128,145.96,146.068
31/08/2023 02:00,USDJPY,146.065,146.074,145.781,145.856
31/08/2023 03:00,USDJPY,145.855,145.929,145.752,145.789
31/08/2023 04:00,USDJPY,145.787,145.95,145.785,145.947
31/08/2023 05:00,USDJPY,145.949,146.031,145.86,145.883
31/08/2023 06:00,USDJPY,145.881,146.044,145.877,145.914
31/08/2023 07:00,USDJPY,145.916,146.046,145.88,146.044
31/08/2023 08:00,USDJPY,146.048,146.053,145.71,145.912
31/08/2023 09:00,USDJPY,145.91,145.965,145.743,145.948
31/08/2023 10:00,USDJPY,145.947,145.961,145.82,145.897
31/08/2023 11:00,USDJPY,145.894,145.974,145.852,145.924
31/08/2023 12:00,USDJPY,145.922,145.937,145.802,145.819
31/08/2023 13:00,USDJPY,145.817,146.072,145.621,145.863
31/08/2023 14:00,USDJPY,145.868,146.228,145.78,146.147
31/08/2023 15:00,USDJPY,146.146,146.166,145.53,145.599
31/08/2023 16:00,USDJPY,145.595,145.74,145.45,145.689
31/08/2023 17:00,USDJPY,145.683,145.689,145.429,145.501
31/08/2023 18:00,USDJPY,145.499,145.541,145.417,145.442
31/08/2023 19:00,USDJPY,145.443,145.455,145.347,145.424
31/08/2023 20:00,USDJPY,145.429,145.507,145.362,145.455
31/08/2023 21:00,USDJPY,145.453,145.546,145.452,145.533
31/08/2023 22:00,USDJPY,145.535,145.554,145.46,145.539
31/08/2023 23:00,USDJPY,145.525,145.568,145.46,145.526
01/09/2023 00:00,USDJPY,145.525,145.542,145.44,145.484
01/09/2023 01:00,USDJPY,145.486,145.702,145.461,145.565
01/09/2023 02:00,USDJPY,145.563,145.568,145.234,145.437
01/09/2023 03:00,USDJPY,145.441,145.466,145.279,145.407
01/09/2023 04:00,USDJPY,145.411,145.497,145.408,145.451
01/09/2023 05:00,USDJPY,145.454,145.564,145.444,145.493
01/09/2023 06:00,USDJPY,145.492,145.597,145.477,145.515
01/09/2023 07:00,USDJPY,145.515,145.628,145.482,145.549
01/09/2023 08:00,USDJPY,145.55,145.55,145.362,145.421
01/09/2023 09:00,USDJPY,145.42,145.515,145.385,145.462
01/09/2023 10:00,USDJPY,145.464,145.499,145.393,145.4
01/09/2023 11:00,USDJPY,145.398,145.495,145.39,145.429
01/09/2023 12:00,USDJPY,145.432,145.45,145.205,145.229
01/09/2023 13:00,USDJPY,145.23,145.303,144.439,144.735
01/09/2023 14:00,USDJPY,144.733,145.451,144.69,145.359
01/09/2023 15:00,USDJPY,145.355,146.071,145.355,146.013
01/09/2023 16:00,USDJPY,146.008,146.23,145.992,146.207
01/09/2023 17:00,USDJPY,146.203,146.3,146.12,146.151
01/09/2023 18:00,USDJPY,146.15,146.168,146.06,146.11
01/09/2023 19:00,USDJPY,146.123,146.195,146.09,146.15
01/09/2023 20:00,USDJPY,146.155,146.203,146.11,146.187
01/09/2023 21:00,USDJPY,146.189,146.282,146.141,146.236
03/09/2023 22:00,USDJPY,146.23,146.231,146.162,146.171
03/09/2023 23:00,USDJPY,146.196,146.25,146.149,146.158
04/09/2023 00:00,USDJPY,146.156,146.157,146.018,146.065
04/09/2023 01:00,USDJPY,146.064,146.214,146.03,146.164
04/09/2023 02:00,USDJPY,146.165,146.246,146.068,146.216
04/09/2023 03:00,USDJPY,146.221,146.221,146.076,146.14
04/09/2023 04:00,USDJPY,146.141,146.195,146.105,146.158
04/09/2023 05:00,USDJPY,146.157,146.205,146.132,146.158
04/09/2023 06:00,USDJPY,146.153,146.241,146.13,146.184
04/09/2023 07:00,USDJPY,146.181,146.212,146.128,146.188
04/09/2023 08:00,USDJPY,146.189,146.46,146.181,146.405
04/09/2023 09:00,USDJPY,146.41,146.455,146.29,146.433
04/09/2023 10:00,USDJPY,146.434,146.466,146.35,146.386
04/09/2023 11:00,USDJPY,146.387,146.396,146.3,146.329
04/09/2023 12:00,USDJPY,146.326,146.397,146.32,146.391
04/09/2023 13:00,USDJPY,146.386,146.449,146.367,146.449
04/09/2023 14:00,USDJPY,146.447,146.47,146.38,146.421
04/09/2023 15:00,USDJPY,146.42,146.464,146.395,146.449
04/09/2023 16:00,USDJPY,146.445,146.52,146.418,146.457
04/09/2023 17:00,USDJPY,146.451,146.496,146.449,146.485
04/09/2023 18:00,USDJPY,146.484,146.492,146.46,146.488
04/09/2023 19:00,USDJPY,146.487,146.495,146.47,146.489
04/09/2023 20:00,USDJPY,146.485,146.494,146.47,146.483
04/09/2023 21:00,USDJPY,146.486,146.496,146.406,146.475
04/09/2023 22:00,USDJPY,146.43,146.48,146.332,146.47
04/09/2023 23:00,USDJPY,146.458,146.522,146.449,146.52
05/09/2023 00:00,USDJPY,146.514,146.555,146.47,146.542
05/09/2023 01:00,USDJPY,146.536,146.621,146.486,146.517
05/09/2023 02:00,USDJPY,146.516,146.646,146.483,146.626
05/09/2023 03:00,USDJPY,146.625,146.725,146.606,146.721
05/09/2023 04:00,USDJPY,146.723,146.776,146.7,146.739
05/09/2023 05:00,USDJPY,146.743,146.75,146.63,146.668
05/09/2023 06:00,USDJPY,146.667,146.877,146.64,146.852
05/09/2023 07:00,USDJPY,146.848,147.06,146.81,146.963
05/09/2023 08:00,USDJPY,146.956,147.092,146.832,146.913
05/09/2023 09:00,USDJPY,146.907,147.037,146.834,147.007
05/09/2023 10:00,USDJPY,147.007,147.185,146.952,147.181
05/09/2023 11:00,USDJPY,147.182,147.276,147.151,147.224
05/09/2023 12:00,USDJPY,147.228,147.347,147.18,147.34
05/09/2023 13:00,USDJPY,147.34,147.505,147.08,147.197
05/09/2023 14:00,USDJPY,147.193,147.6,147.13,147.526
05/09/2023 15:00,USDJPY,147.528,147.711,147.452,147.694
05/09/2023 16:00,USDJPY,147.696,147.74,147.58,147.627
05/09/2023 17:00,USDJPY,147.63,147.658,147.553,147.632
05/09/2023 18:00,USDJPY,147.635,147.804,147.57,147.778
05/09/2023 19:00,USDJPY,147.779,147.785,147.69,147.759
05/09/2023 20:00,USDJPY,147.757,147.772,147.67,147.723
05/09/2023 21:00,USDJPY,147.725,147.734,147.67,147.72
05/09/2023 22:00,USDJPY,147.679,147.745,147.511,147.686
05/09/2023 23:00,USDJPY,147.678,147.694,147.6,147.622
06/09/2023 00:00,USDJPY,147.623,147.629,147.358,147.459
06/09/2023 01:00,USDJPY,147.46,147.82,147.43,147.774
06/09/2023 02:00,USDJPY,147.771,147.779,147.627,147.657
06/09/2023 03:00,USDJPY,147.655,147.669,147.5,147.523
06/09/2023 04:00,USDJPY,147.525,147.598,147.429,147.566
06/09/2023 05:00,USDJPY,147.56,147.566,147.39,147.397
06/09/2023 06:00,USDJPY,147.398,147.41,147.013,147.033
06/09/2023 07:00,USDJPY,147.034,147.295,147.026,147.282
06/09/2023 08:00,USDJPY,147.283,147.496,147.225,147.373
06/09/2023 09:00,USDJPY,147.369,147.488,147.36,147.392
06/09/2023 10:00,USDJPY,147.391,147.595,147.376,147.413
06/09/2023 11:00,USDJPY,147.416,147.417,147.29,147.367
06/09/2023 12:00,USDJPY,147.366,147.445,147.32,147.376
06/09/2023 13:00,USDJPY,147.377,147.403,147.204,147.273
06/09/2023 14:00,USDJPY,147.272,147.393,147.127,147.15
06/09/2023 15:00,USDJPY,147.149,147.692,147.148,147.6
06/09/2023 16:00,USDJPY,147.601,147.707,147.56,147.648
06/09/2023 17:00,USDJPY,147.652,147.675,147.57,147.589
06/09/2023 18:00,USDJPY,147.588,147.63,147.48,147.609
06/09/2023 19:00,USDJPY,147.613,147.739,147.603,147.697
06/09/2023 20:00,USDJPY,147.695,147.745,147.64,147.683
06/09/2023 21:00,USDJPY,147.678,147.712,147.629,147.634
06/09/2023 22:00,USDJPY,147.567,147.695,147.55,147.633
06/09/2023 23:00,USDJPY,147.628,147.672,147.564,147.65
07/09/2023 00:00,USDJPY,147.642,147.722,147.613,147.709
07/09/2023 01:00,USDJPY,147.714,147.873,147.681,147.763
07/09/2023 02:00,USDJPY,147.759,147.806,147.535,147.629
07/09/2023 03:00,USDJPY,147.626,147.697,147.59,147.613
07/09/2023 04:00,USDJPY,147.615,147.63,147.519,147.565
07/09/2023 05:00,USDJPY,147.561,147.6,147.492,147.564
07/09/2023 06:00,USDJPY,147.565,147.685,147.53,147.578
07/09/2023 07:00,USDJPY,147.576,147.592,147.42,147.552
07/09/2023 08:00,USDJPY,147.554,147.582,147.407,147.436
07/09/2023 09:00,USDJPY,147.437,147.498,147.358,147.457
07/09/2023 10:00,USDJPY,147.456,147.496,147.39,147.441
07/09/2023 11:00,USDJPY,147.442,147.497,147.398,147.435
07/09/2023 12:00,USDJPY,147.436,147.437,147.275,147.282
07/09/2023 13:00,USDJPY,147.279,147.613,147.215,147.274
07/09/2023 14:00,USDJPY,147.284,147.421,147.102,147.398
07/09/2023 15:00,USDJPY,147.399,147.435,147.039,147.106
07/09/2023 16:00,USDJPY,147.109,147.285,147.068,147.135
07/09/2023 17:00,USDJPY,147.133,147.143,147.03,147.09
07/09/2023 18:00,USDJPY,147.091,147.26,147.091,147.241
07/09/2023 19:00,USDJPY,147.241,147.269,147.11,147.179
07/09/2023 20:00,USDJPY,147.175,147.25,147.156,147.224
07/09/2023 21:00,USDJPY,147.225,147.298,147.18,147.284
07/09/2023 22:00,USDJPY,147.295,147.311,147.185,147.275
07/09/2023 23:00,USDJPY,147.28,147.283,147.216,147.281
08/09/2023 00:00,USDJPY,147.281,147.383,147.264,147.336
08/09/2023 01:00,USDJPY,147.335,147.369,146.582,146.918
08/09/2023 02:00,USDJPY,146.914,147.25,146.89,147.112
08/09/2023 03:00,USDJPY,147.107,147.216,147.026,147.216
