date,ticker,open,high,low,close
01/01/2023 22:00,USDJPY,130.783,130.783,130.747,130.752
01/01/2023 23:00,USDJPY,130.732,130.845,130.732,130.845
02/01/2023 00:00,USDJPY,130.86,131.037,130.811,130.92
02/01/2023 01:00,USDJPY,130.913,130.98,130.762,130.943
02/01/2023 02:00,USDJPY,130.949,131.175,130.823,131.02
02/01/2023 03:00,USDJPY,131.021,131.093,130.811,130.925
02/01/2023 04:00,USDJPY,130.928,130.963,130.791,130.914
02/01/2023 05:00,USDJPY,130.918,130.973,130.857,130.938
02/01/2023 06:00,USDJPY,130.936,130.995,130.824,130.967
02/01/2023 07:00,USDJPY,130.952,130.985,130.9,130.931
02/01/2023 08:00,USDJPY,130.954,130.967,130.9,130.924
02/01/2023 09:00,USDJPY,130.927,130.964,130.849,130.879
02/01/2023 10:00,USDJPY,130.864,130.879,130.746,130.783
02/01/2023 11:00,USDJPY,130.778,130.89,130.752,130.769
02/01/2023 12:00,USDJPY,130.764,130.806,130.69,130.736
02/01/2023 13:00,USDJPY,130.735,130.756,130.61,130.642
02/01/2023 14:00,USDJPY,130.637,130.778,130.624,130.702
02/01/2023 15:00,USDJPY,130.703,130.836,130.556,130.784
02/01/2023 16:00,USDJPY,130.772,130.837,130.631,130.745
02/01/2023 17:00,USDJPY,130.739,130.809,130.666,130.777
02/01/2023 18:00,USDJPY,130.772,130.803,130.652,130.787
02/01/2023 19:00,USDJPY,130.788,130.793,130.71,130.741
02/01/2023 20:00,USDJPY,130.724,130.745,130.679,130.72
02/01/2023 21:00,USDJPY,130.713,130.752,130.538,130.73
02/01/2023 22:00,USDJPY,130.731,130.875,130.613,130.738
02/01/2023 23:00,USDJPY,130.765,131.402,130.529,130.792
03/01/2023 00:00,USDJPY,130.789,130.907,130.56,130.607
03/01/2023 01:00,USDJPY,130.608,130.716,129.793,130.147
03/01/2023 02:00,USDJPY,130.148,130.306,129.77,129.92
03/01/2023 03:00,USDJPY,129.923,130.075,129.665,129.788
03/01/2023 04:00,USDJPY,129.789,129.803,129.495,129.593
03/01/2023 05:00,USDJPY,129.592,129.954,129.549,129.813
03/01/2023 06:00,USDJPY,129.815,130.171,129.61,129.842
03/01/2023 07:00,USDJPY,129.843,130.253,129.78,130.111
03/01/2023 08:00,USDJPY,130.107,130.959,130.091,130.778
03/01/2023 09:00,USDJPY,130.779,130.801,130.251,130.415
03/01/2023 10:00,USDJPY,130.413,130.734,130.359,130.692
03/01/2023 11:00,USDJPY,130.691,130.887,130.62,130.873
03/01/2023 12:00,USDJPY,130.875,131.201,130.829,130.974
03/01/2023 13:00,USDJPY,130.966,131.006,130.58,130.653
03/01/2023 14:00,USDJPY,130.655,130.794,130.047,130.184
03/01/2023 15:00,USDJPY,130.185,130.933,130.173,130.74
03/01/2023 16:00,USDJPY,130.74,131.107,130.62,130.835
03/01/2023 17:00,USDJPY,130.832,130.884,130.721,130.79
03/01/2023 18:00,USDJPY,130.793,130.815,130.59,130.622
03/01/2023 19:00,USDJPY,130.619,130.79,130.558,130.772
03/01/2023 20:00,USDJPY,130.78,130.964,130.748,130.959
03/01/2023 21:00,USDJPY,130.962,131.038,130.882,131.008
03/01/2023 22:00,USDJPY,131.03,131.06,130.951,130.994
03/01/2023 23:00,USDJPY,130.979,131.463,130.969,131.293
04/01/2023 00:00,USDJPY,131.295,131.308,130.816,131.016
04/01/2023 01:00,USDJPY,131.014,131.219,130.57,130.644
04/01/2023 02:00,USDJPY,130.644,130.935,130.625,130.815
04/01/2023 03:00,USDJPY,130.813,130.857,130.613,130.648
04/01/2023 04:00,USDJPY,130.649,130.951,130.639,130.826
04/01/2023 05:00,USDJPY,130.832,130.992,130.749,130.847
04/01/2023 06:00,USDJPY,130.848,130.877,130.678,130.723
04/01/2023 07:00,USDJPY,130.729,130.755,130.1,130.244
04/01/2023 08:00,USDJPY,130.247,130.527,129.91,130.504
04/01/2023 09:00,USDJPY,130.503,130.63,130.26,130.423
04/01/2023 10:00,USDJPY,130.422,130.572,130.41,130.426
04/01/2023 11:00,USDJPY,130.43,130.596,130.27,130.532
04/01/2023 12:00,USDJPY,130.531,130.978,130.513,130.834
04/01/2023 13:00,USDJPY,130.83,130.926,130.577,130.707
